image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.899214,bus,van,False
drive_022,2,5,0.826557,truck,bus,False
drive_022,3,3,0.828084,car,car,True
drive_022,4,1,0.895981,car,car,True
drive_022,5,4,0.839542,van,car,False
drive_033,1,12,0.939243,bus,van,False
drive_033,2,2,0.83286,truck,bus,False
drive_033,3,7,0.84898,car,car,True
drive_033,4,3,0.795843,car,car,True
drive_033,5,5,0.809048,car,car,True
drive_033,6,9,0.823909,car,car,True
drive_033,8,4,0.775635,car,car,True
drive_033,9,6,0.839803,car,car,True
drive_033,10,10,0.836505,car,car,True
drive_033,11,8,0.843976,car,car,True
drive_033,15,1,0.970901,bus,van,False
drive_038,3,8,0.921658,car,car,True
drive_038,4,7,0.851995,car,car,True
drive_038,5,13,0.870866,car,car,True
drive_038,6,11,0.854021,car,car,True
drive_038,7,10,0.93405,car,car,True
drive_038,8,14,0.834809,car,car,True
drive_038,9,16,0.84266,car,car,True
drive_038,10,17,0.937854,car,car,True
drive_038,12,3,0.959824,car,car,True
drive_038,13,4,0.925837,car,car,True
drive_038,14,2,0.929627,car,car,True
drive_038,15,1,0.916249,car,car,True
drive_038,16,15,0.876129,van,truck,False
drive_038,17,9,0.912446,truck,bus,False
drive_038,18,5,0.898777,truck,bus,False
drive_008,1,4,0.939261,car,car,True
drive_008,2,2,0.921632,car,car,True
drive_008,5,7,0.861094,car,car,True
drive_008,6,1,0.825921,truck,bus,False
drive_008,7,5,0.812988,van,truck,False
drive_008,8,3,0.897933,van,truck,False
drive_008,9,12,0.859528,van,truck,False
drive_008,12,13,0.659988,car,car,True
drive_008,13,14,0.899293,car,car,True
drive_008,14,16,0.920498,car,car,True
drive_008,15,11,0.919142,car,car,True
drive_008,16,6,0.889356,car,car,True
drive_008,17,9,0.942191,bus,van,False
drive_008,19,15,0.156543,car,car,True
